Date,Team,Acquired,Relinquished,Notes
04/02/2011,Magic,,Brandon Bass,sprained left ankle (DNP)
04/02/2011,Pistons,,Jason Maxiell,sore back (DNP)
04/02/2011,Raptors,,Jerryd Bayless,sprained right knee (DTD)
04/02/2011,Timberwolves,,Michael Beasley,left ankle injury (DTD)
05/02/2011,Blazers,,Dante Cunningham,facial injury (DNP)
05/02/2011,Hornets,,Trevor Ariza,sprained right ankle (DNP)
05/02/2011,Jazz,,Andrei Kirilenko,sprained left ankle (DNP)
05/02/2011,Pistons,,Jason Maxiell,sore back (DNP)
05/02/2011,Timberwolves,Michael Beasley,,returned to lineup
06/02/2011,Celtics,,Marquis Daniels,bruised spinal cord (out indefinitely)
06/02/2011,Celtics,,Shaquille O'Neal,sore right leg (DNP)
06/02/2011,Clippers,,Eric Gordon,sprained right wrist (DNP)
06/02/2011,Magic,,Brandon Bass,sprained left ankle (DNP)
07/02/2011,Celtics,,Semih Erden,strained right adductor (DNP)
07/02/2011,Celtics,,Shaquille O'Neal,sore right leg (DNP)
07/02/2011,Jazz,,Francisco Elson,left knee injury (DTD)
08/02/2011,Clippers,,Eric Gordon,sprained right wrist (DNP)
08/02/2011,Magic,,Brandon Bass,sprained left ankle (DNP)
08/02/2011,Mavericks,,Dominique Jones,stress fracture in fifth metatarsal in right foot (out indefinitely)
08/02/2011,Pistons,,Chris Wilcox,sore groin (DNP)
08/02/2011,Pistons,,Richard Hamilton,sore groin (DNP)
08/02/2011,Raptors,,Alex Ajinca,sore left foot (DNP)
08/02/2011,Timberwolves,,Darko Milicic,strained left hip flexor (DNP)
08/02/2011,Timberwolves,,Michael Beasley,sprained left ankle (DNP)
09/02/2011,Clippers,,Eric Gordon,sprained right wrist (DNP)
09/02/2011,Jazz,,Francisco Elson,left knee inflammation (DNP)
09/02/2011,Magic,,Brandon Bass,sprained left ankle (DNP)
09/02/2011,Pistons,,Richard Hamilton,sore groin (DNP)
09/02/2011,Wizards,,Al Thornton,dislocated right middle finger (DNP)
09/02/2011,Wizards,,Jianlian Yi,sprained left ankle (DNP)
10/02/2011,Celtics,,Semih Erden,strained right adductor (DNP)
10/02/2011,Celtics,,Shaquille O'Neal,sore right leg (DNP)
11/02/2011,Clippers,,Eric Gordon,sprained right wrist (DNP)
11/02/2011,Jazz,,Raja Bell,strained left calf (DNP)
11/02/2011,Jazz,,Ronnie Price,sprained right big toe (DNP)
11/02/2011,Magic,,Brandon Bass,sprained left ankle (DNP)
11/02/2011,Mavericks,,Dominique Jones,surgery on right foot to repair stress fracture in fifth metatarsal (out indefinitely)
11/02/2011,Pistons,,Richard Hamilton,sore groin (DNP)
11/02/2011,Raptors,,Alex Ajinca,sore left foot (DNP)
11/02/2011,Spurs,,Tiago Splitter,strained left hamstring (DNP)
11/02/2011,Timberwolves,,Darko Milicic,strained left hip flexor (DNP)
11/02/2011,Timberwolves,,Michael Beasley,sprained left ankle (DNP)
11/02/2011,Bucks,,Larry Sanders ,back spasms (DNP)
12/02/2011,Cavaliers,,Anderson Varejao,surgery on right ankle to repair torn tendon (date approximate)
12/02/2011,Spurs,,Tiago Splitter,strained left hamstring (DNP)
12/02/2011,Timberwolves,,Darko Milicic,strained left hip flexor (DNP)
13/02/2011,Celtics,,Semih Erden,strained right adductor (DNP)
13/02/2011,Celtics,,Shaquille O'Neal,sore right leg (DNP)
13/02/2011,Clippers,,Eric Gordon,sprained right wrist (DNP)
13/02/2011,Kings,,Luther Head,sore right knee (DTD)
13/02/2011,Warriors,,Dan Gadzuric,back spasms (DTD)
14/02/2011,Clippers,,Eric Gordon,fractured right wrist (DNP)
15/02/2011,Bobcats,,Eduardo Najera,groin injury (DNP)
15/02/2011,Heat,,Dexter Pittman,surgery on right knee to repair cartilage (out indefinitely)
15/02/2011,Jazz,,Andrei Kirilenko,sprained right ankle (DNP)
15/02/2011,Jazz,,Raja Bell,strained left calf (DNP)
15/02/2011,Jazz,,Ronnie Price,sprained right big toe (DNP)
15/02/2011,Kings,,Tyreke Evans,plantar fasciitis in right foot (DNP)
16/02/2011,Bucks,,Ersan Ilyasova,right eye contusion (DNP)
16/02/2011,Bucks,,Keyon Dooling,sore left knee (DNP)
16/02/2011,Celtics,,Shaquille O'Neal,sore right leg (DNP)
16/02/2011,Clippers,,Eric Gordon,sprained right wrist (DNP)
16/02/2011,Grizzlies,,Rudy Gay,partially dislocated left shoulder (out indefinitely)
16/02/2011,Jazz,,Andrei Kirilenko,sprained right ankle (DNP)
16/02/2011,Jazz,,Raja Bell,strained left calf (DNP)
16/02/2011,Jazz,,Ronnie Price,sprained right big toe (DNP)
16/02/2011,Kings,,Tyreke Evans,plantar fasciitis in right foot (DNP)
17/02/2011,Mavericks,,Jose Barea ,illness (DTD)
17/02/2011,Spurs,,Tiago Splitter,strained left hamstring (DNP)
21/02/2011,Kings,,Francisco Garcia,left calf injury (DNP)
22/02/2011,Bobcats,Eduardo Najera,,returned to lineup
22/02/2011,Bucks,Ersan Ilyasova,,returned to lineup
22/02/2011,Celtics,Semih Erden,,returned to lineup
23/02/2011,Blazers,,Sean Marks,left hand injury (DTD)
23/02/2011,Jazz,,Ronnie Price,sprained right big toe (DNP)
23/02/2011,Kings,,Tyreke Evans,plantar fasciitis in left foot (DNP) (P)
23/02/2011,Suns,,Zabian Dowdell,illness (DTD)
25/02/2011,Blazers,,Gerald Wallace,DNP
25/02/2011,Bobcats,,D.J. White,DNP
25/02/2011,Nuggets,,Melvin Ely,sprained ankle (DTD)
25/02/2011,Spurs,,Gary Neal,concussion symptoms (DNP)
25/02/2011,Suns,Zabian Dowdell,,returned to lineup
25/02/2011,Timberwolves,,Martell Webster,sore back (DNP)
25/02/2011,Bobcats,,DeSagana Diop,ruptured right Achilles tendon (DNP)
25/02/2011,Bobcats,,Tyrus Thomas,torn meniscus in right knee (DNP)
25/02/2011,Kings,,Francisco Garcia,strained left calf (DNP)
26/02/2011,Bucks,,Ersan Ilyasova,concussion (DNP)
26/02/2011,Kings,,Francisco Garcia,strained left calf (DNP)
26/02/2011,Nets,,Quinton Ross,strained lower back (DNP)
26/02/2011,Pistons,,Tayshaun Prince,back injury / illness (P) (DNP)
26/02/2011,Pistons,,Tracy McGrady,headache (DNP)
27/02/2011,Bobcats,,Tyrus Thomas,torn meniscus in right knee (DNP)
27/02/2011,Cavaliers,,Antawn Jamison,broken left little finger (out indefinitely)
27/02/2011,Raptors,,Andrea Bargnani,flu (DNP)
27/02/2011,Spurs,,Gary Neal,concussion symptoms (DNP)
28/02/2011,Cavaliers,,Antawn Jamison,surgery to repair broken left little finger (out indefinitely)
28/02/2011,Celtics,,Delonte West,sprained right ankle (DNP)
28/02/2011,Hawks,,Kirk Hinrich,sore right calf (DNP)
28/02/2011,Kings,,Francisco Garcia,strained left calf (DNP)
28/02/2011,Spurs,,Tony Parker,strained left calf muscle (out indefinitely)
01/03/2011,Blazers,,Rudy Fernandez,illness / flu (DNP)
01/03/2011,Bucks,,Andrew Bogut,strained left rib muscle (DNP)
01/03/2011,Bucks,,Luc Mbah a Moute,flu (DNP)
01/03/2011,Magic,,Gilbert Arenas,sore left knee (DNP)
01/03/2011,Pistons,,Tayshaun Prince,sore SI joint (DNP)
02/03/2011,Cavaliers,,Daniel Gibson,quadriceps injury (DTD)
02/03/2011,Cavaliers,,Semih Erden,groin injury (DTD)
02/03/2011,Hawks,,Josh Smith,sprained MCL in right knee (DTD)
03/03/2011,Celtics,,Glen Davis,patellar tendinitis in left knee (out indefinitely)
03/03/2011,Jazz,,Derrick Favors,cold (DNP)
03/03/2011,Thunder,,Nate Robinson,arthroscopic surgery on right knee (out indefinitely)
04/03/2011,Bucks,,Ersan Ilyasova,concussion (DNP)
04/03/2011,Bucks,,Luc Mbah a Moute,stomach virus (DNP)
04/03/2011,Cavaliers,,Semih Erden,strained right adductor muscle (DNP)
04/03/2011,Celtics,,Glen Davis,patellar tendinitis in left knee (DNP)
04/03/2011,Hornets,,Trevor Ariza,strained abductor muscle (DNP)
04/03/2011,Timberwolves,,Sebastian Telfair,illness (DTD)
04/03/2011,Timberwolves,,Wes Johnson,gastroenteritis / food poisoning (DNP)
05/03/2011,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
05/03/2011,Kings,,Hassan Whiteside,surgery on left knee to repair torn patella tendon (out for season)
05/03/2011,Kings,,Omri Casspi,sore back (DNP)
05/03/2011,Timberwolves,,Wes Johnson,flu (DNP)
06/03/2011,Bucks,,Ersan Ilyasova,concussion (DNP)
06/03/2011,Celtics,,Glen Davis,strained patellar tendon in left knee (DNP)
06/03/2011,Celtics,,Von Wafer,sprained right calf (DNP)
06/03/2011,Hornets,,Trevor Ariza,strained groin (DNP)
06/03/2011,Wizards,,Rashard Lewis,right knee tendinitis (DNP)
07/03/2011,Hornets,,Chris Paul,concussion (DNP)
07/03/2011,Hornets,,Trevor Ariza,strained groin (DNP)
07/03/2011,Jazz,,Francisco Elson,sprained left ankle (DNP)
07/03/2011,Jazz,,Kyrylo Fesenko,back spasms (DNP)
07/03/2011,Magic,,Chris Duhon,flu (DNP)
07/03/2011,Suns,,Channing Frye,dislocated right shoulder (out indefinitely)
08/03/2011,Bucks,,Ersan Ilyasova,concussion (DNP)
08/03/2011,Cavaliers,,Luke Harangody,right hip pointer (DNP)
08/03/2011,Wizards,,Cartier Martin,patella tendinitis in right knee (DNP)
09/03/2011,Bobcats,,Joel Przybilla,sore right knee (DNP)
09/03/2011,Bobcats,,Matt Carroll,sprained left ankle (DNP)
09/03/2011,Bucks,,Ersan Ilyasova,concussion (DNP)
09/03/2011,Celtics,,Glen Davis,strained patellar tendon in left knee (DNP)
09/03/2011,Celtics,,Von Wafer,strained right calf (DNP)
09/03/2011,Jazz,,Andrei Kirilenko,back spasms (DNP)
09/03/2011,Jazz,,Paul Millsap,patellar tendinitis in left knee (DNP)
09/03/2011,Kings,,Beno Udrih,flu (DNP)
09/03/2011,Raptors,,Alex Ajinca,sore right knee (DNP)
11/03/2011,Celtics,,Glen Davis,strained patellar tendon in left knee (DNP)
11/03/2011,Celtics,,Von Wafer,strained right calf (DNP)
11/03/2011,Jazz,,Paul Millsap,patellar tendinitis in left knee (DNP)
11/03/2011,Kings,,Beno Udrih,flu (DNP)
11/03/2011,Magic,,J.J. Redick,lower abdominal strain (DNP)
11/03/2011,Raptors,,Alex Ajinca,sore right knee (DNP)
12/03/2011,Bucks,,Ersan Ilyasova,concussion (DNP)
12/03/2011,Jazz,,Paul Millsap,patellar tendinitis in left knee (DNP)
12/03/2011,Kings,,Beno Udrih,flu (DNP)
12/03/2011,Wizards,,Cartier Martin,patella tendinitis in right knee (DNP)
13/03/2011,Celtics,,Von Wafer,strained right calf (DNP)
13/03/2011,Knicks,,Anthony Carter,illness (DTD)
13/03/2011,Suns,,Steve Nash,pubic symphysis (DNP)
14/03/2011,Celtics,,Von Wafer,strained right calf (DNP)
14/03/2011,Jazz,,Gordon Hayward,sprained left foot (DNP)
14/03/2011,Jazz,,Paul Millsap,patellar tendinitis in left knee (DNP)
14/03/2011,Rockets,,Terrence Williams,lower abdomen stress (DNP)
14/03/2011,Suns,,Steve Nash,pubic symphysis (DNP)
14/03/2011,Wizards,,Cartier Martin,patella tendinitis in right knee (DNP)
15/03/2011,Bulls,,Joakim Noah,flu (DNP)
15/03/2011,Mavericks,,Brendan Haywood,stiff lower back (DNP)
15/03/2011,Rockets,,Terrence Williams,surgery to relieve lower abdomen stress (out indefinteily)
15/03/2011,Wizards,,Cartier Martin,patella tendinitis in right knee (DNP)
15/03/2011,Wizards,,Josh Howard,left knee tendinitis (DNP)
15/03/2011,Wizards,,Nick Young,bruised left knee (DNP)
16/03/2011,Bucks,,Andrew Bogut,migraine headache (DNP)
16/03/2011,Jazz,,Paul Millsap,patellar tendinitis in left knee (DNP)
16/03/2011,Magic,,J.J. Redick,lower abdominal strain (DNP)
16/03/2011,Mavericks,,Brendan Haywood,stiff lower back (DNP)
16/03/2011,Rockets,,Terrence Williams,lower abdomen stress (DNP)
18/03/2011,Bucks,,Chris Douglas-Roberts,sprained right ankle (DNP)
18/03/2011,Kings,,Luther Head,sore right calf (DNP)
18/03/2011,Magic,,Gilbert Arenas,sore left knee (DNP)
18/03/2011,Magic,,J.J. Redick,lower abdominal strain (DNP)
18/03/2011,Wizards,,Andray Blatche,strained right shoulder (DNP)
18/03/2011,Wizards,,Nick Young,bruised left knee (DNP)
19/03/2011,Blazers,,Armon Johnson,right knee inflammation (DTD)
19/03/2011,Bobcats,,Garrett Temple,sprained left ankle (DNP)
19/03/2011,Cavaliers,,Baron Davis,back spasms (DNP)
19/03/2011,Nuggets,,Al Harrington,right Achilles tendon injury (DTD)
20/03/2011,Wizards,,Nick Young,bruised left knee (DNP)
21/03/2011,Cavaliers,,Baron Davis,back spasms (DNP)
21/03/2011,Heat,,Mario Chalmers,sprained right knee (out indefinitely)
21/03/2011,Magic,,J.J. Redick,lower abdominal strain (DNP)
21/03/2011,Nets,,Damion James,sore right foot (DNP)
21/03/2011,Spurs,,Tim Duncan,sprained left ankle (out indefinitely)
22/03/2011,Blazers,,Marcus Camby,sprained right ankle (DNP)
22/03/2011,Blazers,Armon Johnson,,returned to lineup
22/03/2011,Wizards,,Nick Young,bruised left knee (DNP)
23/03/2011,Cavaliers,,Baron Davis,back spasms (DNP)
23/03/2011,Heat,,Mario Chalmers,sprained right knee (DNP)
23/03/2011,Jazz,,Andrei Kirilenko,bruised left knee (DTD)
23/03/2011,Jazz,,Derrick Favors,sprained left ankle (DNP)
23/03/2011,Magic,,J.J. Redick,lower abdominal strain (DNP)
23/03/2011,Nets,,Damion James,sore right foot (DNP)
23/03/2011,Pistons,,Ben Wallace,left knee injury (DTD)
23/03/2011,Rockets,,Chase Budinger,sprained left ankle (DTD)
23/03/2011,Timberwolves,,Kevin Love,strained left groin (DTD)
23/03/2011,Wizards,,Nick Young,bruised left knee (DNP)
24/03/2011,Jazz,,Andrei Kirilenko,nerve damage in left knee (DNP)
25/03/2011,Bobcats,,Tyrus Thomas,bruised ribs (DNP)
25/03/2011,Celtics,,Troy Murphy,sprained right ankle (DNP)
25/03/2011,Grizzlies,,Rudy Gay,surgery to repair partially dislocated left shoulder (out for season)
25/03/2011,Heat,,Mario Chalmers,sprained right knee (DNP)
25/03/2011,Magic,,J.J. Redick,lower abdominal strain (DNP)
25/03/2011,Magic,,Quentin Richardson,back spasms (DNP)
25/03/2011,Raptors,,Amir Johnson,sore left ankle (DNP)
25/03/2011,Raptors,,Reggie Evans,sore right foot (DNP)
26/03/2011,Bobcats,,Tyrus Thomas,bruised ribs (DNP)
26/03/2011,Jazz,,Andrei Kirilenko,nerve damage in left knee (DNP)
26/03/2011,Nets,,Damion James,sore right foot (DNP)
26/03/2011,Pistons,,Tracy McGrady,sore back (DNP)
26/03/2011,Raptors,,Andrea Bargnani,sore right ankle (DNP)
27/03/2011,Celtics,,Rajon Rondo,right finger injury (DNP)
27/03/2011,Celtics,,Troy Murphy,sprained right ankle (DNP)
27/03/2011,Timberwolves,,Nikola Pekovic,hip injury (DNP)
27/03/2011,Wizards,,Trevor Booker,sore right foot (DNP)
28/03/2011,76ers,,Tony Battie,illness (DTD)
28/03/2011,Celtics,,Troy Murphy,sprained right ankle (DNP)
28/03/2011,Jazz,,Andrei Kirilenko,nerve damage in left knee (DNP)
28/03/2011,Jazz,,Kyrylo Fesenko,migraine headache (DNP)
28/03/2011,Magic,,J.J. Redick,lower abdominal strain (DNP)
28/03/2011,Magic,,Jameer Nelson,sprained left knee (DNP)
28/03/2011,Spurs,,Tony Parker,bruised left patella (DNP)
28/03/2011,Spurs,,Antonio McDyess,bruised lower back (DNP)
28/03/2011,Wizards,,Nick Young,bruised left knee (DNP)
28/03/2011,Wizards,,Trevor Booker,sore right foot (DNP)
29/03/2011,Cavaliers,,Samardo Samuels,wrist injury (DTD)
29/03/2011,Heat,,Mike Miller,bruised left knee (DNP)
29/03/2011,Nets,,Damion James,sore right foot (DNP)
29/03/2011,Thunder,,Nick Collison,sprained left ankle (DNP)
30/03/2011,Bobcats,,Tyrus Thomas,sore left knee (DNP)
30/03/2011,Bucks,,Larry Sanders ,back spasms (DNP)
30/03/2011,Cavaliers,,Samardo Samuels,sprained right wrist (DNP)
30/03/2011,Heat,,Mike Miller,bruised left knee (DNP)
30/03/2011,Kings,,Marquis Daniels,surgery on back (out for season)
30/03/2011,Magic,,Chris Duhon,sprained right thumb (DNP)
30/03/2011,Magic,,J.J. Redick,lower abdominal strain (DNP)
30/03/2011,Nets,,Ben Uzoh,sore left knee (DNP)
30/03/2011,Wizards,,Nick Young,bruised left knee (DNP)
31/03/2011,Bobcats,,Joel Przybilla,surgery on knee to remove wires that were inserted to help heal torn patella tendon (out for season) (date approximate)
01/04/2011,76ers,Tony Battie,,returned to lineup
01/04/2011,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
01/04/2011,Bobcats,,Tyrus Thomas,sore left knee (DNP)
01/04/2011,Cavaliers,,Samardo Samuels,sprained right wrist (DNP)
01/04/2011,Jazz,,Raja Bell,sprained/bruised right foot (DNP)
01/04/2011,Jazz,,Ronnie Price,bruised left shin (DNP)
01/04/2011,Magic,,Chris Duhon,sprained right thumb (DNP)
01/04/2011,Magic,,Gilbert Arenas,flu (DNP)
01/04/2011,Magic,,J.J. Redick,lower abdominal strain (DNP)
01/04/2011,Suns,,Steve Nash,flu-like symptoms (DNP)
01/04/2011,Wizards,,Nick Young,bruised left knee (DNP)
02/04/2011,Bucks,,Carlos Delfino,bruised right chest/ribs (DNP)
02/04/2011,Clippers,,Ryan Gomes,sore knee (DNP)
02/04/2011,Raptors,,Andrea Bargnani,sore right ankle (DNP)
02/04/2011,Timberwolves,,Darko Milicic,sprained left ankle (DNP)
02/04/2011,Timberwolves,,Kevin Love,strained left groin (DNP)
03/04/2011,Bobcats,,Eduardo Najera,lower back spasms (DNP)
03/04/2011,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
03/04/2011,Bobcats,,Tyrus Thomas,sore left knee (DNP)
03/04/2011,Jazz,,Raja Bell,sprained/bruised right foot (DNP)
03/04/2011,Jazz,,Ronnie Price,bruised left shin (DNP)
03/04/2011,Magic,,Chris Duhon,sprained right thumb (DNP)
03/04/2011,Magic,,Gilbert Arenas,flu (DNP)
03/04/2011,Magic,,J.J. Redick,lower abdominal strain (DNP)
03/04/2011,Nuggets,,Arron Afflalo,hamstring injury (DTD)
03/04/2011,Suns,,Steve Nash,flu (DNP)
03/04/2011,Wizards,,Hamady N'Diaye,strained left patella tendon (DNP)
03/04/2011,Wizards,,Nick Young,bruised left knee (DNP)
05/04/2011,Bobcats,,Eduardo Najera,lower back spasms (DNP)
05/04/2011,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
05/04/2011,Bobcats,,Tyrus Thomas,sore left knee (DNP)
05/04/2011,Cavaliers,,Samardo Samuels,strained left groin (DNP)
05/04/2011,Jazz,,Kyrylo Fesenko,fractured right thumb (DNP)
05/04/2011,Jazz,,Raja Bell,sprained/bruised right foot (DNP)
05/04/2011,Jazz,,Ronnie Price,bruised left shin (DNP)
05/04/2011,Magic,,J.J. Redick,lower abdominal strain (DNP)
05/04/2011,Nets,,Anthony Morrow,left knee tendinitis (DTD)
05/04/2011,Timberwolves,,Kevin Love,strained left groin (DNP)
05/04/2011,Wizards,,Cartier Martin,stress fracture in left foot (DTD)
05/04/2011,Wizards,,Hamady N'Diaye,strained left patella tendon (DNP)
05/04/2011,Wizards,,Nick Young,bruised left knee (DNP)
06/04/2011,Bobcats,,Eduardo Najera,lower back spasms (DNP)
06/04/2011,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
06/04/2011,Bobcats,,Tyrus Thomas,sore left knee (DNP)
06/04/2011,Magic,,J.J. Redick,lower abdominal strain (DNP)
06/04/2011,Magic,,Jason Richardson,left knee tendinitis (DNP)
06/04/2011,Mavericks,,Jason Kidd,rest (DNP)
06/04/2011,Nets,,Anthony Morrow,left knee tendinitis (DNP)
06/04/2011,Nets,,Damion James,sore right foot (DNP)
06/04/2011,Nuggets,,Timofey Mozgov,sprained left knee and ankle (DNP)
06/04/2011,Raptors,,Amir Johnson,sore left ankle (DNP)
06/04/2011,Wizards,,Hamady N'Diaye,strained left patella tendon (DNP)
06/04/2011,Wizards,,Nick Young,bruised left knee (DNP)
07/04/2011,Blazers,,Marcus Camby,strained/sore neck (DNP)
07/04/2011,Jazz,,Kyrylo Fesenko,fractured right thumb (DNP)
07/04/2011,Jazz,,Ronnie Price,strained left calf (DNP)
07/04/2011,Warriors,,Acie Law,surgery on right wrist to remove bone spur (out for season)
08/04/2011,Blazers,,Marcus Camby,strained/sore neck (DNP)
08/04/2011,Bobcats,,Eduardo Najera,lower back spasms (DNP)
08/04/2011,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
08/04/2011,Bobcats,,Tyrus Thomas,sore left knee (DNP)
08/04/2011,Cavaliers,,Samardo Samuels,strained left groin (DNP)
08/04/2011,Clippers,,Chris Kaman,sprained right knee (DNP)
08/04/2011,Knicks,,Andy Rautins,surgery on knee (date approximate)
08/04/2011,Nets,,Anthony Morrow,left knee tendinitis (DNP)
08/04/2011,Nuggets,,Timofey Mozgov,sprained left knee and ankle (DNP)
08/04/2011,Pistons,,Will Bynum,strained right knee (DNP)
08/04/2011,Raptors,,Jose Calderon,sore/strained left hamstring (DNP)
08/04/2011,Suns,,Steve Nash,strained right hamstring (DNP)
08/04/2011,Wizards,,Hamady N'Diaye,strained patella tendon nin left knee (DNP)
08/04/2011,Wizards,,Nick Young,bruised left knee (DNP)
09/04/2011,Bucks,,Jon Brockman,separated left shoulder (DNP)
09/04/2011,Clippers,,Chris Kaman,sprained right knee (DNP)
09/04/2011,Jazz,,Kyrylo Fesenko,fractured right thumb (DNP)
09/04/2011,Jazz,,Ronnie Price,strained left calf (DNP)
09/04/2011,Nuggets,,Timofey Mozgov,sprained left knee and ankle (DNP)
09/04/2011,Nuggets,,Wilson Chandler,sore left ankle (DNP)
09/04/2011,Rockets,,Kyle Lowry,sore left foot / knee (CBC) (DNP)
09/04/2011,Rockets,,Luis Scola,sore left knee (DNP)
09/04/2011,Timberwolves,,Darko Milicic,sprained left ankle (DNP)
09/04/2011,Wizards,,Hamady N'Diaye,strained patella tendon nin left knee (DNP)
09/04/2011,Wizards,,Nick Young,bruised left knee (DNP)
10/04/2011,Bobcats,,Eduardo Najera,lower back spasms (DNP)
10/04/2011,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
10/04/2011,Bobcats,,Tyrus Thomas,sore left knee (DNP)
10/04/2011,Magic,,J.J. Redick,lower abdominal strain (DNP)
10/04/2011,Nets,,Anthony Morrow,left knee tendinitis (DNP)
10/04/2011,Nets,,Damion James,sore right foot (DNP)
